WHO_Region,Country,NBI,iso_a3_eh
European Region,Portugal,0.511,PRT
Eastern Mediterranean Region,Qatar,0.189,QAT
Western Pacific Region,Republic of Korea (South Korea; ROK),0.423,KOR
European Region,Republic of Moldova,0.454,MDA
Africa Region,Republic of the Congo,0.649,COG
European Region,Romania,0.424,ROU
European Region,Russian Federation,0.447,RUS
Africa Region,Rwanda,0.726,RWA
Region of the Americas,Saint Kitts and Nevis (St Kitts and Nevis),,KNA
Region of the Americas,Saint Lucia (St Lucia),,LCA
Region of the Americas,Saint Vincent and the Grenadines (St Vincent and the Grenadines),,VCT
Western Pacific Region,Samoa,,WSM
European Region,San Marino,,SMR
Africa Region,São Tomé and Príncipe,,STP
Eastern Mediterranean Region,Saudi Arabia,0.281,SAU
Africa Region,Senegal,0.512,SEN
European Region,Serbia,,SRB
Africa Region,Seychelles,,SYC
Africa Region,Sierra Leone,0.652,SLE
Western Pacific Region,Singapore,,SGP
European Region,Slovakia,0.589,SVK
European Region,Slovenia,0.558,SVN
Western Pacific Region,Solomon Islands,0.599,SLB
Eastern Mediterranean Region,Somalia,0.527,SOM
Africa Region,South Africa,0.714,ZAF
Africa Region,South Sudan,0.539,SSD
European Region,Spain,0.486,ESP
South-East Asia Region,Sri Lanka,0.656,LKA
Eastern Mediterranean Region,Sudan,0.539,SDN
Region of the Americas,Suriname,0.623,SUR
European Region,Sweden,0.304,SWE
European Region,Switzerland,0.497,CHE
Eastern Mediterranean Region,Syrian Arab Republic (Syria),0.469,SYR
European Region,Tajikistan,0.546,TJK
South-East Asia Region,Thailand,0.67,THA
South-East Asia Region,Timor-Leste,,TLS
Africa Region,Togo,0.693,TGO
Region of the Americas,Trinidad and Tobago,0.691,TTO
Eastern Mediterranean Region,Tunisia,0.408,TUN
European Region,Türkiye (Turkey),0.572,TUR
European Region,Turkmenistan,0.445,TKM
Western Pacific Region,Tuvalu,,TUV
Africa Region,Uganda,0.655,UGA
European Region,Ukraine,0.415,UKR
Eastern Mediterranean Region,United Arab Emirates (UAE),0.392,ARE
European Region,United Kingdom of Great Britain and Northern Ireland (UK),0.32,GBR
Africa Region,United Republic of Tanzania,0.674,TZA
Region of the Americas,United States of America (USA),0.677,USA
Region of the Americas,Uruguay,0.487,URY
European Region,Uzbekistan,0.436,UZB
Western Pacific Region,Vanuatu,0.393,VUT
Region of the Americas,Venezuela (Bolivarian Republic of),0.85,VEN
Western Pacific Region,Viet Nam (Vietnam),0.682,VNM
Eastern Mediterranean Region,Yemen,0.387,YEM
Africa Region,Zambia,0.537,ZMB
Africa Region,Zimbabwe,0.586,ZWE
